pruid,prname,date,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
59,British Columbia,1/31/2020,0,0,0,0,0,0.02,0,0,0,0,0,0,100,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Alberta,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Saskatchewan,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Manitoba,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,1/31/2020,0,0,0,0,0,0.02,0,0,0,0,0,0,100,3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Quebec,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Newfoundland and Labrador,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Prince Edward Island,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,2/8/2020,0,0,0,0,0,0.02,0,0,0,0,0,0,100,3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
59,British Columbia,2/8/2020,0,0,12.08,3,75,0.08,0,0,0,0,63,0,100,4,0.08,3,0.06,0,0,3,0.06,0,0,0.43,0.01,0,0,0
35,Ontario,2/16/2020,0,0,0,0,0,0.02,0,0,0,0,0,0,100,3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
59,British Columbia,2/16/2020,0,0,20.9,1,20,0.1,0,0,0,0,46,0,100,5,0.1,4,0.08,0,0,4,0.08,0,0,0.57,0.01,0,0,0
35,Ontario,2/21/2020,0,0,0,0,0,0.02,0,0,0,0,0,0,100,3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
59,British Columbia,2/21/2020,0,0,31.83,1,16.67,0.12,0,0,0,0,57,0,100,6,0.12,5,0.1,0,0,5,0.1,0,0,0.71,0.01,0,0,0
35,Ontario,2/24/2020,0,0,0,1,25,0.03,0,0,0,0,0,0,100,4,0.03,1,0.01,0,0,1,0.01,0,0,0.14,0,0,0,0
59,British Columbia,2/24/2020,0,0,40.65,0,0,0.12,0,0,0,0,46,0,100,6,0.12,5,0.1,0,0,5,0.1,0,0,0.71,0.01,0,0,0
35,Ontario,2/25/2020,0,0,0,0,0,0.03,0,0,0,0,0,0,100,4,0.03,1,0.01,0,0,1,0.01,0,0,0.14,0,0,0,0
59,British Columbia,2/25/2020,0,0,44.11,1,14.29,0.13,0,0,0,0,18,0,100,7,0.13,6,0.12,0,0,6,0.12,0,0,0.86,0.02,0,0,0
35,Ontario,2/26/2020,0,0,0,1,20,0.03,0,0,0,0,0,0,100,5,0.03,2,0.01,0,0,2,0.01,0,0,0.29,0,0,0,0
59,British Columbia,2/26/2020,0,0,55.99,0,0,0.13,0,0,0,0,62,0,100,7,0.13,6,0.12,0,0,6,0.12,0,0,0.86,0.02,0,0,0
35,Ontario,2/27/2020,0,0,0,1,16.67,0.04,0,0,0,0,0,0,100,6,0.04,3,0.02,0,0,3,0.02,0,0,0.43,0,0,0,0
59,British Columbia,2/27/2020,0,0,70.76,0,0,0.13,0,0,0,0,77,0,100,7,0.13,6,0.12,0,0,6,0.12,0,0,0.86,0.02,0,0,0
35,Ontario,2/29/2020,0,0,0,2,25,0.05,0,0,0,0,0,0,100,8,0.05,5,0.03,0,0,5,0.03,0,0,0.71,0,0,0,0
59,British Columbia,2/29/2020,0,0,97.8,0,0,0.13,0,0,0,0,141,0,100,7,0.13,6,0.12,0,0,3,0.06,0,0,0.43,0.01,0,0,0
35,Ontario,3/1/2020,0,0,0,7,46.67,0.1,0,0,0,0,0,0,100,15,0.1,12,0.08,0,0,12,0.08,0,0,1.71,0.01,0,0,0
59,British Columbia,3/1/2020,0,0,118.13,1,12.5,0.15,0,0,0,0,106,0,100,8,0.15,7,0.13,0,0,3,0.06,0,0,0.43,0.01,0,0,0
24,Quebec,3/1/2020,0,0,2.21,0,0,0.01,0,0,0,0,0,0,100,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,3/3/2020,0,0,0,5,25,0.13,0,0,0,0,0,0,100,20,0.13,17,0.11,0,0,17,0.11,0,0,2.43,0.02,0,0,0
59,British Columbia,3/3/2020,0,0,132.32,4,33.33,0.23,0,0,0,0,74,0,100,12,0.23,11,0.21,0,0,6,0.12,0,0,0.86,0.02,0,0,0
24,Quebec,3/3/2020,0,0,5,0,0,0.01,0,0,0,0,24,0,100,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,3/5/2020,0,0,0,2,9.09,0.15,0,0,0,0,0,0,100,22,0.15,19,0.13,0,0,18,0.12,0,0,2.57,0.02,0,0,0
59,British Columbia,3/5/2020,0,0,200.39,9,42.86,0.4,0,0,0,0,355,0,100,21,0.4,20,0.38,0,0,15,0.29,0,0,2.14,0.04,0,0,0
24,Quebec,3/5/2020,0,0,6.28,1,50,0.02,0,0,0,0,11,0,100,2,0.02,1,0.01,0,0,1,0.01,0,0,0.14,0,0,0,0
35,Ontario,3/6/2020,0,0,0,6,21.43,0.19,0,0,0,0,0,0,100,28,0.19,25,0.17,0,0,24,0.16,0,0,3.43,0.02,0,0,0
59,British Columbia,3/6/2020,0,0,251.78,0,0,0.4,0,0,0,0,268,0,100,21,0.4,20,0.38,0,0,14,0.27,0,0,2,0.04,0,0,0
24,Quebec,3/6/2020,0,0,9.53,0,0,0.02,0,0,0,0,28,0,100,2,0.02,1,0.01,0,0,1,0.01,0,0,0.14,0,0,0,0
35,Ontario,3/7/2020,0,0,0,0,0,0.19,0,0,0,0,0,0,100,28,0.19,25,0.17,0,0,23,0.16,0,0,3.29,0.02,0,0,0
59,British Columbia,3/7/2020,0,0,317.37,6,22.22,0.52,0,0,0,0,342,0,100,27,0.52,26,0.5,0,0,20,0.38,0,0,2.86,0.05,0,0,0
24,Quebec,3/7/2020,0,0,13.02,0,0,0.02,0,0,0,0,30,0,100,2,0.02,1,0.01,0,0,1,0.01,0,0,0.14,0,0,0,0
35,Ontario,3/8/2020,0,0,0,3,9.68,0.21,0,0,0,0,0,0,100,31,0.21,28,0.19,0,0,25,0.17,0,0,3.57,0.02,0,0,0
59,British Columbia,3/8/2020,0,0,475.19,0,0,0.52,0.02,1,3.7,0,823,0,96.3,26,0.5,26,0.5,1,0.02,20,0.38,1,0.02,2.86,0.05,0,0,0
24,Quebec,3/8/2020,0,0,18.71,1,33.33,0.03,0,0,0,0,49,0,100,3,0.03,2,0.02,0,0,2,0.02,0,0,0.29,0,0,0,0
48,Alberta,3/8/2020,0,0,13.5,0,0,0.02,0,0,0,0,0,0,100,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,3/9/2020,0,0,0,3,8.82,0.23,0,0,0,0,0,0,100,34,0.23,31,0.21,0,0,26,0.18,0,0,3.71,0.03,0,0,0
59,British Columbia,3/9/2020,0,0,573.18,5,15.63,0.61,0.02,0,3.13,0,511,0,96.88,31,0.59,28,0.54,1,0.02,25,0.48,1,0.02,3.57,0.07,0,0,0
24,Quebec,3/9/2020,0,0,23.36,1,25,0.05,0,0,0,0,40,0,100,4,0.05,3,0.03,0,0,3,0.03,0,0,0.43,0,0,0,0
48,Alberta,3/9/2020,0,0,76.75,6,85.71,0.16,0,0,0,0,281,0,100,7,0.16,6,0.14,0,0,6,0.14,0,0,0.86,0.02,0,0,0
59,British Columbia,3/11/2020,0,838.57,679.8,7,17.95,0.75,0.02,0,2.56,4373,556,0,97.44,38,0.73,34,0.65,1,0.02,31,0.59,1,0.02,4.43,0.08,0,0,0
48,Alberta,3/11/2020,0,443.18,221.48,7,50,0.32,0,0,0,1969,643,0,100,14,0.32,13,0.29,0,0,13,0.29,0,0,1.86,0.04,0,0,0
47,Saskatchewan,3/11/2020,0,172.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Manitoba,3/11/2020,0,254.38,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,3/11/2020,0,228.92,0,8,19.05,0.28,0,0,0,3394,0,0,100,42,0.28,39,0.26,0,0,27,0.18,0,0,3.86,0.03,0,0,0
24,Quebec,3/11/2020,0,64.62,30.91,3,42.86,0.08,0,0,0,556,65,0,100,7,0.08,6,0.07,0,0,6,0.07,0,0,0.86,0.01,0,0,0
13,New Brunswick,3/11/2020,0,27.88,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Newfoundland and Labrador,3/11/2020,0,84.53,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,3/11/2020,0,103.82,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Prince Edward Island,3/11/2020,0,36.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,3/11/2020,0,0,43.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,3/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,3/11/2020,0,0,535.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,British Columbia,3/12/2020,0,996.2,834.93,7,15.22,0.88,0.02,0,2.17,822,809,0,97.83,45,0.86,40,0.77,1,0.02,34,0.65,1,0.02,4.86,0.09,0,0,0
48,Alberta,3/12/2020,0,924.85,397.94,5,26.32,0.43,0,0,0,2140,784,0,100,19,0.43,18,0.41,0,0,18,0.41,0,0,2.57,0.06,0,0,0
